year,ava,mva,aal
2001,54830300000,48143349000,47917294000
2002,54296368000,43576560000,51796511000
2003,52900465000,42446854000,54443775000
2004,52094479000,48484649000,57123100000
2005,51122156000,51936441000,61129444000
2006,52464726000,57235728000,64627361000
2007,57057838000,67340995000,66495870000
2008,60922157000,62473423000,70845637000
2009,59781575000,42995480000,75520736000
2010,59306848000,45598479000,79005428000
2011,59141131000,51199993000,85640383000
2012,58227622000,48533800000,87760660000
2013,57353262000,49015561000,89951816000
2014,57231799000,52980114000,92352983000
2015,57240946000,51585519000,94576710000
2016,57265506000,49832061000,99989401000
2017,57336856000,53155337000,1.01849E+11
2018,58135539000,56363710000,1.02991E+11
2019,61065304000,58733885000,1.052E+11
2020,63929400000,58687202000,1.07964E+11
2021,67249000000,72099352000,1.12783E+11